Combination,Load,Sliding Distance,Sliding Speed,Phase,Wear Rate
AlCrFeNiMo,30,500,2,MIP,2.583
AlCrFeNiMo,30,500,3,MIP,2.94
AlCrFeNiMo,30,1000,1,MIP,2.254
AlCrFeNiMo,30,1000,2,MIP,2.8
AlCrFeNiMo,30,1000,3,MIP,2.549
AlCrFeNiMo,30,1500,1,MIP,2.507
AlCrFeNiMo,30,1500,2,MIP,2.957
AlCrFeNiMo,30,1500,3,MIP,2.636
CoFeNiMnMo,10,500,1,MIP,2.571
CoFeNiMnMo,10,500,2,MIP,2.507
CoFeNiMnMo,10,500,3,MIP,2.577
CoFeNiMnMo,10,1000,1,MIP,2.674
CoFeNiMnMo,10,1000,2,MIP,2.57
CoFeNiMnMo,10,1000,3,MIP,2.596
CoFeNiMnMo,10,1500,1,MIP,2.668
CoFeNiMnMo,10,1500,2,MIP,2.733
CoFeNiMnMo,10,1500,3,MIP,2.845
CoFeNiMnMo,20,500,1,MIP,2.521
CoFeNiMnMo,20,500,2,MIP,2.773
CoFeNiMnMo,20,500,3,MIP,2.646
CoFeNiMnMo,20,1000,1,MIP,2.881
CoFeNiMnMo,20,1000,2,MIP,2.99
CoFeNiMnMo,20,1000,3,MIP,2.606
CoFeNiMnMo,20,1500,1,MIP,2.832
CoFeNiMnMo,20,1500,2,MIP,2.773
CoFeNiMnMo,20,1500,3,MIP,2.612
CoFeNiMnMo,30,500,1,MIP,2.823
CoFeNiMnMo,30,500,2,MIP,2.885
CoFeNiMnMo,30,500,3,MIP,2.629
CoFeNiMnMo,30,1000,1,MIP,2.965
CoFeNiMnMo,30,1000,2,MIP,2.799
CoFeNiMnMo,30,1000,3,MIP,2.643
CoFeNiMnMo,30,1500,1,MIP,2.961
CoFeNiMnMo,30,1500,2,MIP,2.757
CoFeNiMnMo,30,1500,3,MIP,2.6
CrCoFeNiTi,10,500,1,FCC,1.765
CrCoFeNiTi,10,500,2,FCC,1.492
CrCoFeNiTi,10,500,3,FCC,1.443
CrCoFeNiTi,10,1000,1,FCC,1.58
CrCoFeNiTi,10,1000,2,FCC,1.419
CrCoFeNiTi,10,1000,3,FCC,1.298
CrCoFeNiTi,10,1500,1,FCC,1.431
CrCoFeNiTi,10,1500,2,FCC,1.292
CrCoFeNiTi,10,1500,3,FCC,1.24
CrCoFeNiTi,20,500,1,FCC,1.75
CrCoFeNiTi,20,500,2,FCC,1.521
CrCoFeNiTi,20,500,3,FCC,1.445
CrCoFeNiTi,20,1000,1,FCC,1.699
CrCoFeNiTi,20,1000,2,FCC,1.489
CrCoFeNiTi,20,1000,3,FCC,1.344
CrCoFeNiTi,20,1500,1,FCC,1.626
CrCoFeNiTi,20,1500,2,FCC,1.377
CrCoFeNiTi,20,1500,3,FCC,1.262
CrCoFeNiTi,30,500,1,FCC,2.07
CrCoFeNiTi,30,500,2,FCC,1.924
CrCoFeNiTi,30,500,3,FCC,1.804
CrCoFeNiTi,30,1000,1,FCC,2.179
CrCoFeNiTi,30,1000,2,FCC,2.017
CrCoFeNiTi,30,1000,3,FCC,1.821
CrCoFeNiTi,30,1500,1,FCC,2.326
CrCoFeNiTi,30,1500,2,FCC,1.979
CrCoFeNiTi,30,1500,3,FCC,1.773
CrCoFeNiMo,10,500,1,MIP,2.61
CrCoFeNiMo,10,500,2,MIP,2.751
CrCoFeNiMo,10,500,3,MIP,2.984
CrCoFeNiMo,10,1000,1,MIP,2.783
CrCoFeNiMo,10,1000,2,MIP,2.602
CrCoFeNiMo,10,1000,3,MIP,2.93
CrCoFeNiMo,10,1500,1,MIP,2.998
CrCoFeNiMo,10,1500,2,MIP,2.697
CrCoFeNiMo,10,1500,3,MIP,2.898
CrCoFeNiMo,20,500,1,MIP,2.675
CrCoFeNiMo,20,500,2,MIP,2.551
CrCoFeNiMo,20,500,3,MIP,2.933
CrCoFeNiMo,20,1000,1,MIP,2.806
CrCoFeNiMo,20,1000,2,MIP,2.854
CrCoFeNiMo,20,1000,3,MIP,2.722
CrCoFeNiMo,20,1500,1,MIP,2.836
CrCoFeNiMo,20,1500,2,MIP,2.973
CrCoFeNiMo,20,1500,3,MIP,2.961
CrCoFeNiMo,30,500,1,MIP,2.661
CrCoFeNiMo,30,500,2,MIP,2.545
CrCoFeNiMo,30,500,3,MIP,2.822
CrCoFeNiMo,30,1000,1,MIP,2.813
CrCoFeNiMo,30,1000,2,MIP,2.943
CrCoFeNiMo,30,1000,3,MIP,2.669
CrCoFeNiMo,30,1500,1,MIP,2.706
CrCoFeNiMo,30,1500,2,MIP,2.66
CrCoFeNiMo,30,1500,3,MIP,2.535
AlCrTiMoSi,10,500,1,MIP,1.848
AlCrTiMoSi,10,500,2,MIP,2.376
AlCrTiMoSi,10,500,3,MIP,2.769
AlCrTiMoSi,10,1000,1,MIP,2.199
AlCrTiMoSi,10,1000,2,MIP,2.619
AlCrTiMoSi,10,1000,3,MIP,2.817
AlCrTiMoSi,10,1500,1,MIP,2.454
AlCrTiMoSi,10,1500,2,MIP,2.887
AlCrTiMoSi,10,1500,3,MIP,2.548
AlCrTiMoSi,20,500,1,MIP,2.978
AlCrTiMoSi,20,500,2,MIP,2.9
AlCrTiMoSi,20,500,3,MIP,2.933
AlCrTiMoSi,20,1000,1,MIP,2.939
AlCrTiMoSi,20,1000,2,MIP,2.572
AlCrTiMoSi,20,1000,3,MIP,1.089
AlCrTiMoSi,20,1500,1,MIP,2.804
AlCrTiMoSi,20,1500,2,MIP,2.971
AlCrTiMoSi,20,1500,3,MIP,1.292
AlCrTiMoSi,30,500,1,MIP,2.687
AlCrTiMoSi,30,500,2,MIP,2.924
AlCrTiMoSi,30,500,3,MIP,2.798
AlCrTiMoSi,30,1000,1,MIP,2.961
AlCrTiMoSi,30,1000,2,MIP,2.904
AlCrTiMoSi,30,1000,3,MIP,2.673
AlCrTiMoSi,30,1500,1,MIP,2.89
AlCrTiMoSi,30,1500,2,MIP,2.602
AlCrTiMoSi,30,1500,3,MIP,2.871
AlCrCoFeNi,10,500,1,BCC,2.669
AlCrCoFeNi,10,500,2,BCC,2.674
AlCrCoFeNi,10,500,3,BCC,2.837
AlCrCoFeNi,10,1000,1,BCC,2.936
AlCrCoFeNi,10,1000,2,BCC,2.985
AlCrCoFeNi,10,1000,3,BCC,2.521
AlCrCoFeNi,10,1500,1,BCC,2.704
AlCrCoFeNi,10,1500,2,BCC,2.888
AlCrCoFeNi,10,1500,3,BCC,2.736
AlCrCoFeNi,20,500,1,BCC,2.338
AlCrCoFeNi,20,500,2,BCC,2.336
AlCrCoFeNi,20,500,3,BCC,2.387
AlCrCoFeNi,20,1000,1,BCC,2.03
AlCrCoFeNi,20,1000,2,BCC,2.239
AlCrCoFeNi,20,1000,3,BCC,2.482
AlCrCoFeNi,20,1500,1,BCC,1.777
AlCrCoFeNi,20,1500,2,BCC,2.104
AlCrCoFeNi,20,1500,3,BCC,2.482
AlCrCoFeNi,30,500,1,BCC,1.704
AlCrCoFeNi,30,500,2,BCC,2.109
AlCrCoFeNi,30,500,3,BCC,2.142
AlCrCoFeNi,30,1000,1,BCC,1.821
AlCrCoFeNi,30,1000,2,BCC,2.032
AlCrCoFeNi,30,1000,3,BCC,2.278
AlCrCoFeNi,30,1500,1,BCC,1.946
AlCrCoFeNi,30,1500,2,BCC,2
AlCrCoFeNi,30,1500,3,BCC,2.325
AlCrCoFeMn,10,500,1,FCC,2.773
AlCrCoFeMn,10,500,2,FCC,2.795
AlCrCoFeMn,10,500,3,FCC,2.563
AlCrCoFeMn,10,1000,1,FCC,2.939
AlCrCoFeMn,10,1000,2,FCC,2.844
AlCrCoFeMn,10,1000,3,FCC,2.677
AlCrCoFeMn,10,1500,1,FCC,2.529
AlCrCoFeMn,10,1500,2,FCC,2.588
AlCrCoFeMn,10,1500,3,FCC,2.552
AlCrCoFeMn,20,500,1,FCC,2.743
AlCrCoFeMn,20,500,2,FCC,2.667
AlCrCoFeMn,20,500,3,FCC,2.528
AlCrCoFeMn,20,1000,1,FCC,2.695
AlCrCoFeMn,20,1000,2,FCC,2.755
AlCrCoFeMn,20,1000,3,FCC,2.816
AlCrCoFeMn,20,1500,1,FCC,2.534
AlCrCoFeMn,20,1500,2,FCC,2.696
AlCrCoFeMn,20,1500,3,FCC,2.821
AlCrCoFeMn,30,500,1,FCC,2.59
AlCrCoFeMn,30,500,2,FCC,2.978
AlCrCoFeMn,30,500,3,FCC,2.654
AlCrCoFeMn,30,1000,1,FCC,2.908
AlCrCoFeMn,30,1000,2,FCC,2.523
AlCrCoFeMn,30,1000,3,FCC,2.9
AlCrCoFeMn,30,1500,1,FCC,2.797
AlCrCoFeMn,30,1500,2,FCC,2.657
AlCrCoFeMn,30,1500,3,FCC,2.781
AlCrCoFeTi,10,500,1,BCC_FCC,2.917
AlCrCoFeTi,10,500,2,BCC_FCC,1.318
AlCrCoFeTi,10,500,3,BCC_FCC,1.568
AlCrCoFeTi,10,1000,1,BCC_FCC,1.147
AlCrCoFeTi,10,1000,2,BCC_FCC,1.5
AlCrCoFeTi,10,1000,3,BCC_FCC,1.79
AlCrCoFeTi,10,1500,1,BCC_FCC,1.469
AlCrCoFeTi,10,1500,2,BCC_FCC,1.728
AlCrCoFeTi,10,1500,3,BCC_FCC,2.036
AlCrCoFeTi,20,500,1,BCC_FCC,2.55
AlCrCoFeTi,20,500,2,BCC_FCC,2.807
AlCrCoFeTi,20,500,3,BCC_FCC,2.93
AlCrCoFeTi,20,1000,1,BCC_FCC,2.594
AlCrCoFeTi,20,1000,2,BCC_FCC,2.58
AlCrCoFeTi,20,1000,3,BCC_FCC,2.97
AlCrCoFeTi,20,1500,1,BCC_FCC,2.831
AlCrCoFeTi,20,1500,2,BCC_FCC,2.939
AlCrCoFeTi,20,1500,3,BCC_FCC,2.66
AlCrCoFeTi,30,500,1,BCC_FCC,2.599
AlCrCoFeTi,30,500,2,BCC_FCC,2.864
AlCrCoFeTi,30,500,3,BCC_FCC,2.624
AlCrCoFeTi,30,1000,1,BCC_FCC,2.631
AlCrCoFeTi,30,1000,2,BCC_FCC,2.624
AlCrCoFeTi,30,1000,3,BCC_FCC,2.713
AlCrCoFeTi,30,1500,1,BCC_FCC,2.961
AlCrCoFeTi,30,1500,2,BCC_FCC,2.792
AlCrCoFeTi,30,1500,3,BCC_FCC,2.712
AlCrCoFeMo,10,500,1,MIP,2.661
AlCrCoFeMo,10,500,2,MIP,2.851
AlCrCoFeMo,10,500,3,MIP,2.818
AlCrCoFeMo,10,1000,1,MIP,2.61
AlCrCoFeMo,10,1000,2,MIP,2.971
AlCrCoFeMo,10,1000,3,MIP,2.972
AlCrCoFeMo,10,1500,1,MIP,2.641
AlCrCoFeMo,10,1500,2,MIP,2.618
AlCrCoFeMo,10,1500,3,MIP,2.586
AlCrCoFeMo,20,500,1,MIP,2.851
AlCrCoFeMo,20,500,2,MIP,2.87
AlCrCoFeMo,20,500,3,MIP,2.835
AlCrCoFeMo,20,1000,1,MIP,2.711
AlCrCoFeMo,20,1000,2,MIP,2.538
AlCrCoFeMo,20,1000,3,MIP,2.593
AlCrCoFeMo,20,1500,1,MIP,2.891
AlCrCoFeMo,20,1500,2,MIP,2.935
AlCrCoFeMo,20,1500,3,MIP,2.787
AlCrCoFeMo,30,500,1,MIP,2.94
AlCrCoFeMo,30,500,2,MIP,2.535
AlCrCoFeMo,30,500,3,MIP,2.825
AlCrCoFeMo,30,1000,1,MIP,2.844
AlCrCoFeMo,30,1000,2,MIP,2.881
AlCrCoFeMo,30,1000,3,MIP,2.668
AlCrCoFeMo,30,1500,1,MIP,2.551
AlCrCoFeMo,30,1500,2,MIP,2.92
AlCrCoFeMo,30,1500,3,MIP,2.616
AlCrCoFeSi,10,500,1,FCC,2.822
AlCrCoFeSi,10,500,2,FCC,2.965
AlCrCoFeSi,10,500,3,FCC,2.999
AlCrCoFeSi,10,1000,1,FCC,2.821
AlCrCoFeSi,10,1000,2,FCC,2.842
AlCrCoFeSi,10,1000,3,FCC,2.999
AlCrCoFeSi,10,1500,1,FCC,2.664
AlCrCoFeSi,10,1500,2,FCC,2.853
AlCrCoFeSi,10,1500,3,FCC,2.79
AlCrCoFeSi,20,500,1,FCC,2.913
AlCrCoFeSi,20,500,2,FCC,2.841
AlCrCoFeSi,20,500,3,FCC,1.243
AlCrCoFeSi,20,1000,1,FCC,2.865
AlCrCoFeSi,20,1000,2,FCC,2.989
AlCrCoFeSi,20,1000,3,FCC,1.47
AlCrCoFeSi,20,1500,1,FCC,2.626
AlCrCoFeSi,20,1500,2,FCC,1.074
AlCrCoFeSi,20,1500,3,FCC,1.731
AlCrCoFeSi,30,500,1,FCC,2.681
AlCrCoFeSi,30,500,2,FCC,2.89
AlCrCoFeSi,30,500,3,FCC,2.838
AlCrCoFeSi,30,1000,1,FCC,2.889
AlCrCoFeSi,30,1000,2,FCC,2.818
AlCrCoFeSi,30,1000,3,FCC,2.699
AlCrCoFeSi,30,1500,1,FCC,2.597
AlCrCoFeSi,30,1500,2,FCC,2.551
AlCrCoFeSi,30,1500,3,FCC,2.653
AlCrCoNiMn,10,500,1,BCC_FCC,2.742
AlCrCoNiMn,10,500,2,BCC_FCC,2.562
AlCrCoNiMn,10,500,3,BCC_FCC,2.816
AlCrCoNiMn,10,1000,1,BCC_FCC,2.951
AlCrCoNiMn,10,1000,2,BCC_FCC,2.967
AlCrCoNiMn,10,1000,3,BCC_FCC,2.64
AlCrCoNiMn,10,1500,1,BCC_FCC,2.757
AlCrCoNiMn,10,1500,2,BCC_FCC,2.895
AlCrCoNiMn,10,1500,3,BCC_FCC,2.522
AlCrCoNiMn,20,500,1,BCC_FCC,2.654
AlCrCoNiMn,20,500,2,BCC_FCC,2.685
AlCrCoNiMn,20,500,3,BCC_FCC,2.699
AlCrCoNiMn,20,1000,1,BCC_FCC,2.884
AlCrCoNiMn,20,1000,2,BCC_FCC,2.588
AlCrCoNiMn,20,1000,3,BCC_FCC,2.831
AlCrCoNiMn,20,1500,1,BCC_FCC,2.819
AlCrCoNiMn,20,1500,2,BCC_FCC,2.708
AlCrCoNiMn,20,1500,3,BCC_FCC,2.535
AlCrCoNiMn,30,500,1,BCC_FCC,2.793
AlCrCoNiMn,30,500,2,BCC_FCC,2.694
AlCrCoNiMn,30,500,3,BCC_FCC,2.532
AlCrCoNiMn,30,1000,1,BCC_FCC,2.785
AlCrCoNiMn,30,1000,2,BCC_FCC,2.804
AlCrCoNiMn,30,1000,3,BCC_FCC,2.507
AlCrCoNiMn,30,1500,1,BCC_FCC,2.74
AlCrCoNiMn,30,1500,2,BCC_FCC,2.562
AlCrCoNiMn,30,1500,3,BCC_FCC,2.642
AlCrCoNiTi,10,500,1,BCC,2.54
AlCrCoNiTi,10,500,2,BCC,2.815
AlCrCoNiTi,10,500,3,BCC,2.629
AlCrCoNiTi,10,1000,1,BCC,2.698
AlCrCoNiTi,10,1000,2,BCC,2.81
AlCrCoNiTi,10,1000,3,BCC,2.844
AlCrCoNiTi,10,1500,1,BCC,2.846
AlCrCoNiTi,10,1500,2,BCC,2.856
AlCrCoNiTi,10,1500,3,BCC,2.954
AlCrCoNiTi,20,500,1,BCC,2.885
AlCrCoNiTi,20,500,2,BCC,2.662
AlCrCoNiTi,20,500,3,BCC,2.722
AlCrCoNiTi,20,1000,1,BCC,2.58
AlCrCoNiTi,20,1000,2,BCC,2.85
AlCrCoNiTi,20,1000,3,BCC,2.902
AlCrCoNiTi,20,1500,1,BCC,2.838
AlCrCoNiTi,20,1500,2,BCC,2.788
AlCrCoNiTi,20,1500,3,BCC,2.804
AlCrCoNiTi,30,500,1,BCC,2.594
AlCrCoNiTi,30,500,2,BCC,2.855
AlCrCoNiTi,30,500,3,BCC,2.891
AlCrCoNiTi,30,1000,1,BCC,2.908
AlCrCoNiTi,30,1000,2,BCC,2.548
AlCrCoNiTi,30,1000,3,BCC,2.892
AlCrCoNiTi,30,1500,1,BCC,2.711
AlCrCoNiTi,30,1500,2,BCC,2.636
AlCrCoNiTi,30,1500,3,BCC,2.545
AlCrCoNiMo,10,500,1,BCC,2.751
AlCrCoNiMo,10,500,2,BCC,2.579
AlCrCoNiMo,10,500,3,BCC,2.811
AlCrCoNiMo,10,1000,1,BCC,2.648
AlCrCoNiMo,10,1000,2,BCC,2.631
AlCrCoNiMo,10,1000,3,BCC,2.708
AlCrCoNiMo,10,1500,1,BCC,2.716
AlCrCoNiMo,10,1500,2,BCC,2.629
AlCrCoNiMo,10,1500,3,BCC,2.534
AlCrCoNiMo,20,500,1,BCC,2.865
AlCrCoNiMo,20,500,2,BCC,2.681
AlCrCoNiMo,20,500,3,BCC,2.916
AlCrCoNiMo,20,1000,1,BCC,2.588
AlCrCoNiMo,20,1000,2,BCC,2.625
AlCrCoNiMo,20,1000,3,BCC,2.755
AlCrCoNiMo,20,1500,1,BCC,2.74
AlCrCoNiMo,20,1500,2,BCC,2.576
AlCrCoNiMo,20,1500,3,BCC,2.645
AlCrCoNiMo,30,500,1,BCC,2.813
AlCrCoNiMo,30,500,2,BCC,1.303
AlCrCoNiMo,30,500,3,BCC,2.136
AlCrCoNiMo,30,1000,1,BCC,1.02
AlCrCoNiMo,30,1000,2,BCC,1.594
AlCrCoNiMo,30,1000,3,BCC,2.185
AlCrCoNiMo,30,1500,1,BCC,1.357
AlCrCoNiMo,30,1500,2,BCC,1.855
AlCrCoNiMo,30,1500,3,BCC,2.222
AlCrCoNiSi,10,500,1,MIP,2.469
AlCrCoNiSi,10,500,2,MIP,2.467
AlCrCoNiSi,10,500,3,MIP,2.637
AlCrCoNiSi,10,1000,1,MIP,2.473
AlCrCoNiSi,10,1000,2,MIP,2.56
AlCrCoNiSi,10,1000,3,MIP,2.787
AlCrCoNiSi,10,1500,1,MIP,2.525
AlCrCoNiSi,10,1500,2,MIP,2.649
AlCrCoNiSi,10,1500,3,MIP,2.949
AlCrCoNiSi,20,500,1,MIP,1.78
AlCrCoNiSi,20,500,2,MIP,1.732
AlCrCoNiSi,20,500,3,MIP,1.871
AlCrCoNiSi,20,1000,1,MIP,1.817
AlCrCoNiSi,20,1000,2,MIP,1.801
AlCrCoNiSi,20,1000,3,MIP,2.013
AlCrCoNiSi,20,1500,1,MIP,1.902
AlCrCoNiSi,20,1500,2,MIP,1.922
AlCrCoNiSi,20,1500,3,MIP,2.212
AlCrCoNiSi,30,500,1,MIP,2.903
AlCrCoNiSi,30,500,2,MIP,1.245
AlCrCoNiSi,30,500,3,MIP,1.422
AlCrCoNiSi,30,1000,1,MIP,1.287
AlCrCoNiSi,30,1000,2,MIP,1.355
AlCrCoNiSi,30,1000,3,MIP,1.56
AlCrCoNiSi,30,1500,1,MIP,1.421
AlCrCoNiSi,30,1500,2,MIP,1.521
AlCrCoNiSi,30,1500,3,MIP,1.741
AlCrCoMnTi,10,500,1,MIP,1.24
AlCrCoMnTi,10,500,2,MIP,1.312
AlCrCoMnTi,10,500,3,MIP,1.365
AlCrCoMnTi,10,1000,1,MIP,1.454
AlCrCoMnTi,10,1000,2,MIP,1.342
AlCrCoMnTi,10,1000,3,MIP,1.417
AlCrCoMnTi,10,1500,1,MIP,1.595
AlCrCoMnTi,10,1500,2,MIP,1.434
AlCrCoMnTi,10,1500,3,MIP,1.526
AlCrCoMnTi,20,500,1,MIP,2.85
AlCrCoMnTi,20,500,2,MIP,2.695
AlCrCoMnTi,20,500,3,MIP,2.938
AlCrCoMnTi,20,1000,1,MIP,2.771
AlCrCoMnTi,20,1000,2,MIP,2.621
AlCrCoMnTi,20,1000,3,MIP,2.546
AlCrCoMnTi,20,1500,1,MIP,2.697
AlCrCoMnTi,20,1500,2,MIP,2.897
AlCrCoMnTi,20,1500,3,MIP,2.978
AlCrCoMnTi,30,500,1,MIP,2.618
AlCrCoMnTi,30,500,2,MIP,2.944
AlCrCoMnTi,30,500,3,MIP,2.911
AlCrCoMnTi,30,1000,1,MIP,2.522
AlCrCoMnTi,30,1000,2,MIP,2.997
AlCrCoMnTi,30,1000,3,MIP,2.588
AlCrCoMnTi,30,1500,1,MIP,2.728
AlCrCoMnTi,30,1500,2,MIP,2.708
AlCrCoMnTi,30,1500,3,MIP,2.814
AlCrCoMnMo,10,500,1,FCC,2.754
AlCrCoMnMo,10,500,2,FCC,2.721
AlCrCoMnMo,10,500,3,FCC,2.799
AlCrCoMnMo,10,1000,1,FCC,2.602
AlCrCoMnMo,10,1000,2,FCC,2.788
AlCrCoMnMo,10,1000,3,FCC,2.831
AlCrCoMnMo,10,1500,1,FCC,2.541
AlCrCoMnMo,10,1500,2,FCC,2.753
AlCrCoMnMo,10,1500,3,FCC,2.713
AlCrCoMnMo,20,500,1,FCC,2.73
AlCrCoMnMo,20,500,2,FCC,2.653
AlCrCoMnMo,20,500,3,FCC,2.671
AlCrCoMnMo,20,1000,1,FCC,2.648
AlCrCoMnMo,20,1000,2,FCC,2.786
AlCrCoMnMo,20,1000,3,FCC,2.586
AlCrCoMnMo,20,1500,1,FCC,2.684
AlCrCoMnMo,20,1500,2,FCC,2.629
AlCrCoMnMo,20,1500,3,FCC,2.725
AlCrCoMnMo,30,500,1,FCC,2.508
AlCrCoMnMo,30,500,2,FCC,2.798
AlCrCoMnMo,30,500,3,FCC,2.827
